Age,Temperature
Deuterium,Temperature
,
,
,
,
,
,
,
,
,
,
,
,
-442.9,-9.55
-440.2,-9.11
-436.1,-8.43
-438.6,-8.84
-434.9,-8.23
-439.5,-8.99
-440.7,-9.19
-438.3,-8.79
-447.2,-10.25
-441.8,-9.36
-439.3,-8.95
-441.3,-9.28
-437.7,-8.69
-438.9,-8.88
-439.9,-9.05
-437.4,-8.64
-439.3,-8.95
-441.4,-9.29
-441.8,-9.36
-448.1,-10.39
-445.4,-9.95
-443.4,-9.62
-442.8,-9.52
-449.3,-10.58
-443.8,-9.68
-442.1,-9.40
-440,-9.05
-439.7,-9.00
-444.3,-9.76
-441.7,-9.33
-446.2,-10.07
-446.4,-10.10
-433.5,-7.98
-439.7,-8.99
-445.2,-9.90
-447.1,-10.21
-446.2,-10.06
-445.6,-9.96
-445.2,-9.89
-443.1,-9.54
-444.9,-9.84
-442.2,-9.39
-444.9,-9.83
-445.6,-9.95
-444.9,-9.83
-442,-9.35
-442,-9.35
-447.2,-10.21
-448.9,-10.48
-447.9,-10.32
-443.2,-9.54
-445.2,-9.87
-445,-9.84
-444,-9.67
-443.2,-9.54
-441.8,-9.30
-447.2,-10.19
-446.2,-10.02
-443.2,-9.53
-448.9,-10.47
-439.6,-8.93
-443.7,-9.61
-447.3,-10.20
-439.9,-8.98
-445.2,-9.85
-445.9,-9.96
-441.1,-9.17
-448.6,-10.40
-445.9,-9.96
-440.2,-9.02
-445.8,-9.94
-442.2,-9.34
-443.7,-9.59
-446,-9.96
-447.4,-10.19
-446.9,-10.11
-440.5,-9.05
-443.1,-9.48
-444.6,-9.72
-447.1,-10.13
-443.8,-9.59
-444.8,-9.75
-444.5,-9.70
-445.9,-9.93
-441.6,-9.22
-439,-8.79
-435.9,-8.28
-439.3,-8.84
-427.6,-6.91
-441.8,-9.25
-440.5,-9.03
-438.4,-8.69
-449.5,-10.51
-441.2,-9.14
-433.4,-7.86
-432.5,-7.71
-438,-8.61
-440,-8.94
-442.8,-9.40
-436.6,-8.38
-439.2,-8.81
-445.7,-9.87
-447.8,-10.22
-441.3,-9.15
-443,-9.42
-446.1,-9.93
-443,-9.42
-438.7,-8.71
-439.8,-8.89
-435.6,-8.20
-433.4,-7.84
-438.6,-8.69
-438.1,-8.61
-438,-8.59
-439.7,-8.87
-443.3,-9.46
-441.4,-9.14
-440,-8.91
-442.2,-9.27
-436.6,-8.35
-439.8,-8.88
-436.2,-8.28
-438.9,-8.72
-436.1,-8.26
-435.1,-8.10
-435.9,-8.23
-430.8,-7.39
-438.2,-8.60
-431.8,-7.55
-434.1,-7.93
-443.2,-9.42
-439.9,-8.88
-437.1,-8.42
-436.7,-8.35
-437.1,-8.42
-436.6,-8.33
-433.5,-7.82
-436.8,-8.36
-440.1,-8.90
-445.7,-9.82
-443.4,-9.44
-443,-9.38
-445.9,-9.85
-437.1,-8.40
-447,-10.03
-442.3,-9.25
-441.9,-9.19
-436.6,-8.31
-446.5,-9.94
-438.4,-8.61
-441.2,-9.06
-442,-9.19
-442,-9.19
-442.6,-9.29
-440.1,-8.88
-440.1,-8.88
-440.1,-8.87
-440.1,-8.87
-440.1,-8.87
-432.2,-7.57
-439,-8.69
-439.5,-8.77
-438,-8.52
-444,-9.51
-446.6,-9.93
-442.7,-9.29
-443.8,-9.47
-447.3,-10.04
