 Gasage  (yr  BP)   , CO2  (ppmv) , Location 
 1920.0 , 277.9 , Law  Dome  (MacFarling  Meure  et  al.,  2006) 
 1949.0 , 276.7 , Law  Dome  (MacFarling  Meure  et  al.,  2006) 
 1999.70909090909 , 278.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2093.3590909090913 , 276.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2234.2352727272723 , 276.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2265.5493333333334 , 276.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2414.3166666666666 , 277.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2526.12496969697 , 277.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2628.015757575757 , 273.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2708.475454545455 , 278.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2801.7606666666657 , 275.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2904.5469090909087 , 274.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 2948.816303030303 , 276.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3056.604242424242 , 274.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3255.728181818182 , 276.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3283.661575757576 , 273.1 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3431.119272727273 , 274.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3528.2878787878785 , 275.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3644.462727272728 , 273.4 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3693.407696969697 , 273.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3806.856969696969 , 271.5 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3856.1663636363637 , 275.4 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 3968.9506060606054 , 274.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 4108.666727272727 , 271.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
